method, obj, restrictions,directeds,rejects,iter,changes, time
1,7435.0,0,0,0,0,0,0.245393037796
2,548.5,0,0,0,0,0,0.649171113968
3,548.5,0,0,0,0,0,0.623581886292
1,7435.0,0,0,0,1,0,0.224291086197
2,548.5,0,0,0,1,0,0.628312826157
3,548.5,0,0,0,1,0,0.619956970215
1,7435.0,0,0,0,2,0,0.238134145737
2,548.5,0,0,0,2,0,0.622174978256
3,548.5,0,0,0,2,0,0.633673906326
1,7435.0,0,0,0,3,0,0.2233979702
2,548.5,0,0,0,3,0,0.61133480072
3,548.5,0,0,0,3,0,0.628114938736
1,7435.0,0,0,0,4,0,0.222018003464
2,548.5,0,0,0,4,0,0.61537694931
3,548.5,0,0,0,4,0,0.635401010513
1,7435.0,0,0,0,5,0,0.224174976349
2,548.5,0,0,0,5,0,0.613952875137
3,548.5,0,0,0,5,0,0.622568845749
1,7435.0,0,0,0,6,0,0.238734006882
2,548.5,0,0,0,6,0,0.613950014114
3,548.5,0,0,0,6,0,0.627939939499
1,7435.0,0,0,0,7,0,0.223242998123
2,548.5,0,0,0,7,0,0.61329293251
3,548.5,0,0,0,7,0,0.633628129959
1,7435.0,0,0,0,8,0,0.223253011703
2,548.5,0,0,0,8,0,0.613729953766
3,548.5,0,0,0,8,0,0.615840911865
1,7435.0,0,0,0,9,0,0.238139867783
2,548.5,0,0,0,9,0,0.61336016655
3,548.5,0,0,0,9,0,0.630197048187
1,7435.0,0,0,0,10,0,0.222687959671
2,548.5,0,0,0,10,0,0.612362146378
3,548.5,0,0,0,10,0,0.627599000931
1,7435.0,0,0,0,11,0,0.224624156952
2,548.5,0,0,0,11,0,0.612993001938
3,548.5,0,0,0,11,0,0.616499185562
1,7435.0,0,0,0,12,0,0.235393047333
2,548.5,0,0,0,12,0,0.611853122711
3,548.5,0,0,0,12,0,0.63237285614
1,7435.0,0,0,0,13,0,0.223711013794
2,548.5,0,0,0,13,0,0.6167948246
3,548.5,0,0,0,13,0,0.613290071487
1,7435.0,0,0,0,14,0,0.237651109695
2,548.5,0,0,0,14,0,0.613094091415
3,548.5,0,0,0,14,0,0.630527019501
1,7435.0,0,0,0,15,0,0.222905874252
2,548.5,0,0,0,15,0,0.609673976898
3,548.5,0,0,0,15,0,0.630686044693
1,7435.0,0,0,0,16,0,0.224752902985
2,548.5,0,0,0,16,0,0.612426042557
3,548.5,0,0,0,16,0,0.635911941528
1,7435.0,0,0,0,17,0,0.223618984222
2,548.5,0,0,0,17,0,0.613713979721
3,548.5,0,0,0,17,0,0.617527008057
1,7435.0,0,0,0,18,0,0.238995075226
2,548.5,0,0,0,18,0,0.614779949188
3,548.5,0,0,0,18,0,0.630745887756
1,7435.0,0,0,0,19,0,0.222975969315
2,548.5,0,0,0,19,0,0.614651918411
3,548.5,0,0,0,19,0,0.635857820511
1,7435.0,0,0,0,20,0,0.222997188568
2,548.5,0,0,0,20,0,0.613690853119
3,548.5,0,0,0,20,0,0.616611003876
1,7435.0,0,0,0,21,0,0.239184141159
2,548.5,0,0,0,21,0,0.612953901291
3,548.5,0,0,0,21,0,0.628865003586
1,7435.0,0,0,0,22,0,0.223295927048
2,548.5,0,0,0,22,0,0.611669063568
3,548.5,0,0,0,22,0,0.630553007126
1,7435.0,0,0,0,23,0,0.222028970718
2,548.5,0,0,0,23,0,0.612128019333
3,548.5,0,0,0,23,0,0.61465716362
1,7435.0,0,0,0,24,0,0.235596895218
2,548.5,0,0,0,24,0,0.614984035492
3,548.5,0,0,0,24,0,0.634876966476
1,7435.0,0,0,0,25,0,0.223079919815
2,548.5,0,0,0,25,0,0.615061044693
3,548.5,0,0,0,25,0,0.614666938782
1,7435.0,0,0,0,26,0,0.236284017563
2,548.5,0,0,0,26,0,0.615701913834
3,548.5,0,0,0,26,0,0.6326379776
1,7435.0,0,0,0,27,0,0.22266793251
2,548.5,0,0,0,27,0,0.614104986191
3,548.5,0,0,0,27,0,0.627682924271
1,7435.0,0,0,0,28,0,0.222954034805
2,548.5,0,0,0,28,0,0.614699840546
3,548.5,0,0,0,28,0,0.633958101273
1,7435.0,0,0,0,29,0,0.225050926208
2,548.5,0,0,0,29,0,0.616019010544
3,548.5,0,0,0,29,0,0.620362043381
1,7435.0,0,0,0,30,0,0.239265918732
2,548.5,0,0,0,30,0,0.61315202713
3,548.5,0,0,0,30,0,0.630745172501
1,7435.0,0,0,0,31,0,0.223055124283
2,548.5,0,0,0,31,0,0.613059997559
3,548.5,0,0,0,31,0,0.632566928864
1,7435.0,0,0,0,32,0,0.223649024963
2,548.5,0,0,0,32,0,0.613775968552
3,548.5,0,0,0,32,0,0.61927485466
1,7435.0,0,0,0,33,0,0.239421129227
2,548.5,0,0,0,33,0,0.613306999207
3,548.5,0,0,0,33,0,0.630869865417
1,7435.0,0,0,0,34,0,0.223869800568
2,548.5,0,0,0,34,0,0.643375873566
3,548.5,0,0,0,34,0,0.626940965652
1,7435.0,0,0,0,35,0,0.223648786545
2,548.5,0,0,0,35,0,0.614323139191
3,548.5,0,0,0,35,0,0.616590023041
1,7435.0,0,0,0,36,0,0.235712051392
2,548.5,0,0,0,36,0,0.613569974899
3,548.5,0,0,0,36,0,0.633143901825
1,7435.0,0,0,0,37,0,0.222159862518
2,548.5,0,0,0,37,0,0.612816810608
3,548.5,0,0,0,37,0,0.61398100853
1,7435.0,0,0,0,38,0,0.235459804535
2,548.5,0,0,0,38,0,0.612571954727
3,548.5,0,0,0,38,0,0.62933921814
1,7435.0,0,0,0,39,0,0.224164962769
2,548.5,0,0,0,39,0,0.613920927048
3,548.5,0,0,0,39,0,0.630730867386
1,7435.0,0,0,0,40,0,0.223723888397
2,548.5,0,0,0,40,0,0.613306045532
3,548.5,0,0,0,40,0,0.634142875671
1,7435.0,0,0,0,41,0,0.225990056992
2,548.5,0,0,0,41,0,0.615198135376
3,548.5,0,0,0,41,0,0.620849132538
1,7435.0,0,0,0,42,0,0.239394903183
2,548.5,0,0,0,42,0,0.61242890358
3,548.5,0,0,0,42,0,0.631233930588
1,7435.0,0,0,0,43,0,0.222026109695
2,548.5,0,0,0,43,0,0.61656498909
3,548.5,0,0,0,43,0,0.632946014404
1,7435.0,0,0,0,44,0,0.223330020905
2,548.5,0,0,0,44,0,0.615537881851
3,548.5,0,0,0,44,0,0.619359970093
1,7435.0,0,0,0,45,0,0.238832950592
2,548.5,0,0,0,45,0,0.616415023804
3,548.5,0,0,0,45,0,0.627594947815
