method, obj, restrictions,directeds,rejects,iter,changes, time
method, obj, restrictions,directeds,rejects,iter,changes, time
1,2137.5,0,0,0,0,0,0.23403096199
1,2137.5,0,0,0,1,0,0.227919101715
1,2137.5,0,0,0,2,0,0.226260900497
1,2137.5,0,0,0,3,0,0.226002931595
1,2137.5,0,0,0,4,0,0.22765994072
1,2137.5,0,0,0,5,0,0.228377103806
1,2137.5,0,0,0,6,0,0.226359128952
1,2137.5,0,0,0,7,0,0.226464033127
1,2137.5,0,0,0,8,0,0.226689815521
1,2137.5,0,0,0,9,0,0.22700715065
1,2137.5,0,0,0,10,0,0.227294921875
1,2137.5,0,0,0,11,0,0.231660842896
1,2137.5,0,0,0,12,0,0.266155958176
1,2137.5,0,0,0,13,0,0.226980924606
1,2137.5,0,0,0,14,0,0.230286121368
1,2137.5,0,0,0,15,0,0.237541913986
1,2137.5,0,0,0,16,0,0.231327056885
1,2137.5,0,0,0,17,0,0.235797166824
1,2137.5,0,0,0,18,0,0.230340957642
1,2137.5,0,0,0,19,0,0.229650020599
1,2137.5,0,0,0,20,0,0.231770038605
1,2137.5,0,0,0,21,0,0.264000892639
1,2137.5,0,0,0,22,0,0.229862928391
1,2137.5,0,0,0,23,0,0.230807065964
1,2137.5,0,0,0,24,0,0.228536128998
1,2137.5,0,0,0,25,0,0.228386163712
1,2137.5,0,0,0,26,0,0.228374958038
1,2137.5,0,0,0,27,0,0.226737976074
1,2137.5,0,0,0,28,0,0.229767084122
1,2137.5,0,0,0,29,0,0.229749917984
1,2137.5,0,0,0,30,0,0.228420972824
1,2137.5,0,0,0,31,0,0.228685855865
1,2137.5,0,0,0,32,0,0.228763103485
1,2137.5,0,0,0,33,0,0.226794958115
1,2137.5,0,0,0,34,0,0.227490186691
1,2137.5,0,0,0,35,0,0.226824998856
1,2137.5,0,0,0,36,0,0.226027011871
1,2137.5,0,0,0,37,0,0.226020097733
1,2137.5,0,0,0,38,0,0.225674152374
1,2137.5,0,0,0,39,0,0.227093219757
1,2137.5,0,0,0,40,0,0.227472066879
1,2137.5,0,0,0,41,0,0.228219985962
