restrictions,directeds,rejects,iter,changes
0,0,0,0,0
0,0,0,1,0
0,0,0,2,0
0,0,0,3,0
0,0,0,4,0
0,0,0,5,0
0,0,0,6,0
0,0,0,7,0
0,0,0,8,0
0,0,0,9,0
0,0,1,0,26
0,0,1,1,39
0,0,1,2,31
0,0,1,3,50
0,0,1,4,26
0,0,1,5,38
0,0,1,6,34
0,0,1,7,31
0,0,1,8,44
0,0,1,9,47
0,0,2,0,57
0,0,2,1,47
0,0,2,2,50
0,0,2,3,50
0,0,2,4,59
0,0,2,5,29
0,0,2,6,48
0,0,2,7,47
0,0,2,8,50
0,0,2,9,30
0,0,3,0,50
0,0,3,1,48
0,0,3,2,45
0,0,3,3,58
0,0,3,4,45
0,0,3,5,50
0,0,3,6,43
0,0,3,7,50
0,0,3,8,48
0,0,3,9,54
0,0,4,0,47
0,0,4,1,46
0,0,4,2,36
0,0,4,3,55
0,0,4,4,42
0,0,4,5,52
0,0,4,6,43
0,0,4,7,36
0,0,4,8,42
0,0,4,9,50
0,1,0,0,47
0,1,0,1,-1
0,1,0,2,54
0,1,0,3,55
0,1,0,4,45
0,1,0,5,52
0,1,0,6,43
0,1,0,7,37
0,1,0,8,40
0,1,0,9,59
0,1,1,0,53
0,1,1,1,47
0,1,1,2,41
0,1,1,3,51
0,1,1,4,52
0,1,1,5,-1
0,1,1,6,47
0,1,1,7,51
0,1,1,8,46
0,1,1,9,45
0,1,2,0,47
0,1,2,1,46
0,1,2,2,55
0,1,2,3,60
0,1,2,4,-1
0,1,2,5,52
0,1,2,6,54
0,1,2,7,-1
0,1,2,8,49
0,1,2,9,-1
0,1,3,0,-1
0,1,3,1,-1
0,1,3,2,50
0,1,3,3,57
0,1,3,4,55
0,1,3,5,55
0,1,3,6,-1
0,1,3,7,43
0,1,3,8,44
0,1,3,9,72
0,1,4,0,58
0,1,4,1,67
0,1,4,2,59
0,1,4,3,-1
0,1,4,4,60
0,1,4,5,65
0,1,4,6,51
0,1,4,7,56
0,1,4,8,-1
0,1,4,9,53
0,2,0,0,48
0,2,0,1,56
0,2,0,2,49
0,2,0,3,-1
0,2,0,4,51
0,2,0,5,64
0,2,0,6,-1
0,2,0,7,56
0,2,0,8,54
0,2,0,9,-1
0,2,1,0,51
0,2,1,1,50
0,2,1,2,55
0,2,1,3,-1
0,2,1,4,-1
0,2,1,5,-1
0,2,1,6,47
0,2,1,7,56
0,2,1,8,-1
0,2,1,9,-1
0,2,2,0,50
0,2,2,1,63
0,2,2,2,65
0,2,2,3,54
0,2,2,4,-1
0,2,2,5,41
0,2,2,6,-1
0,2,2,7,52
0,2,2,8,-1
0,2,2,9,53
0,2,3,0,55
0,2,3,1,-1
0,2,3,2,52
0,2,3,3,51
0,2,3,4,-1
0,2,3,5,51
0,2,3,6,54
0,2,3,7,-1
0,2,3,8,49
0,2,3,9,54
0,2,4,0,64
0,2,4,1,53
0,2,4,2,-1
0,2,4,3,-1
0,2,4,4,58
0,2,4,5,63
0,2,4,6,61
0,2,4,7,-1
0,2,4,8,60
0,2,4,9,48
0,3,0,0,53
0,3,0,1,-1
0,3,0,2,53
0,3,0,3,-1
0,3,0,4,57
0,3,0,5,-1
0,3,0,6,-1
0,3,0,7,-1
0,3,0,8,-1
0,3,0,9,45
0,3,1,0,-1
0,3,1,1,61
0,3,1,2,46
0,3,1,3,53
0,3,1,4,54
0,3,1,5,48
0,3,1,6,58
0,3,1,7,51
0,3,1,8,59
0,3,1,9,-1
0,3,2,0,-1
0,3,2,1,57
0,3,2,2,-1
0,3,2,3,51
0,3,2,4,60
0,3,2,5,-1
0,3,2,6,-1
0,3,2,7,47
0,3,2,8,-1
0,3,2,9,65
0,3,3,0,-1
0,3,3,1,-1
0,3,3,2,-1
0,3,3,3,-1
0,3,3,4,-1
0,3,3,5,-1
0,3,3,6,-1
0,3,3,7,-1
0,3,3,8,57
0,3,3,9,-1
0,3,4,0,-1
0,3,4,1,-1
0,3,4,2,58
0,3,4,3,-1
0,3,4,4,-1
0,3,4,5,53
0,3,4,6,-1
0,3,4,7,63
0,3,4,8,-1
0,3,4,9,63
0,4,0,0,57
0,4,0,1,-1
0,4,0,2,-1
0,4,0,3,-1
0,4,0,4,46
0,4,0,5,54
0,4,0,6,-1
0,4,0,7,45
0,4,0,8,-1
0,4,0,9,-1
0,4,1,0,-1
0,4,1,1,-1
0,4,1,2,-1
0,4,1,3,50
0,4,1,4,59
0,4,1,5,-1
0,4,1,6,67
0,4,1,7,-1
0,4,1,8,-1
0,4,1,9,-1
0,4,2,0,-1
0,4,2,1,64
0,4,2,2,-1
0,4,2,3,-1
0,4,2,4,-1
0,4,2,5,60
0,4,2,6,62
0,4,2,7,-1
0,4,2,8,54
0,4,2,9,-1
0,4,3,0,-1
0,4,3,1,-1
0,4,3,2,68
0,4,3,3,-1
0,4,3,4,-1
0,4,3,5,69
0,4,3,6,71
0,4,3,7,-1
0,4,3,8,68
0,4,3,9,-1
0,4,4,0,-1
0,4,4,1,-1
0,4,4,2,-1
0,4,4,3,58
0,4,4,4,-1
0,4,4,5,-1
0,4,4,6,71
0,4,4,7,67
0,4,4,8,-1
0,4,4,9,-1
1,0,0,0,42
1,0,0,1,43
1,0,0,2,33
1,0,0,3,53
1,0,0,4,53
1,0,0,5,31
1,0,0,6,47
1,0,0,7,50
1,0,0,8,47
1,0,0,9,45
1,0,1,0,33
1,0,1,1,51
1,0,1,2,48
1,0,1,3,50
1,0,1,4,34
1,0,1,5,38
1,0,1,6,44
1,0,1,7,33
1,0,1,8,43
1,0,1,9,34
1,0,2,0,38
1,0,2,1,48
1,0,2,2,42
1,0,2,3,56
1,0,2,4,59
1,0,2,5,56
1,0,2,6,52
1,0,2,7,41
1,0,2,8,40
1,0,2,9,50
1,0,3,0,52
1,0,3,1,54
1,0,3,2,66
1,0,3,3,52
1,0,3,4,49
1,0,3,5,49
1,0,3,6,48
1,0,3,7,38
1,0,3,8,54
1,0,3,9,62
1,0,4,0,66
1,0,4,1,49
1,0,4,2,55
1,0,4,3,46
1,0,4,4,57
1,0,4,5,60
1,0,4,6,64
1,0,4,7,39
1,0,4,8,51
1,0,4,9,56
1,1,0,0,-1
1,1,0,1,57
1,1,0,2,50
1,1,0,3,52
1,1,0,4,43
1,1,0,5,59
1,1,0,6,-1
1,1,0,7,48
1,1,0,8,51
1,1,0,9,44
1,1,1,0,45
1,1,1,1,46
1,1,1,2,48
1,1,1,3,47
1,1,1,4,-1
1,1,1,5,51
1,1,1,6,47
1,1,1,7,46
1,1,1,8,-1
1,1,1,9,56
1,1,2,0,56
1,1,2,1,-1
1,1,2,2,49
1,1,2,3,51
1,1,2,4,43
1,1,2,5,50
1,1,2,6,-1
1,1,2,7,-1
1,1,2,8,-1
1,1,2,9,-1
1,1,3,0,50
1,1,3,1,53
1,1,3,2,56
1,1,3,3,62
1,1,3,4,58
1,1,3,5,56
1,1,3,6,54
1,1,3,7,-1
1,1,3,8,-1
1,1,3,9,58
1,1,4,0,67
1,1,4,1,50
1,1,4,2,39
1,1,4,3,63
1,1,4,4,53
1,1,4,5,-1
1,1,4,6,65
1,1,4,7,54
1,1,4,8,58
1,1,4,9,-1
1,2,0,0,-1
1,2,0,1,55
1,2,0,2,53
1,2,0,3,59
1,2,0,4,-1
1,2,0,5,-1
1,2,0,6,-1
1,2,0,7,-1
1,2,0,8,43
1,2,0,9,53
1,2,1,0,-1
1,2,1,1,-1
1,2,1,2,-1
1,2,1,3,45
1,2,1,4,-1
1,2,1,5,49
1,2,1,6,56
1,2,1,7,58
1,2,1,8,-1
1,2,1,9,58
1,2,2,0,47
1,2,2,1,66
1,2,2,2,-1
1,2,2,3,-1
1,2,2,4,56
1,2,2,5,-1
1,2,2,6,54
1,2,2,7,-1
1,2,2,8,73
1,2,2,9,-1
1,2,3,0,-1
1,2,3,1,-1
1,2,3,2,-1
1,2,3,3,-1
1,2,3,4,-1
1,2,3,5,-1
1,2,3,6,47
1,2,3,7,63
1,2,3,8,49
1,2,3,9,52
1,2,4,0,49
1,2,4,1,63
1,2,4,2,55
1,2,4,3,57
1,2,4,4,-1
1,2,4,5,-1
1,2,4,6,-1
1,2,4,7,59
1,2,4,8,64
1,2,4,9,-1
1,3,0,0,66
1,3,0,1,55
1,3,0,2,-1
1,3,0,3,49
1,3,0,4,-1
1,3,0,5,-1
1,3,0,6,-1
1,3,0,7,-1
1,3,0,8,45
1,3,0,9,57
1,3,1,0,54
1,3,1,1,67
1,3,1,2,-1
1,3,1,3,-1
1,3,1,4,53
1,3,1,5,48
1,3,1,6,-1
1,3,1,7,-1
1,3,1,8,-1
1,3,1,9,56
1,3,2,0,-1
1,3,2,1,-1
1,3,2,2,54
1,3,2,3,-1
1,3,2,4,-1
1,3,2,5,-1
1,3,2,6,59
1,3,2,7,-1
1,3,2,8,-1
1,3,2,9,-1
1,3,3,0,-1
1,3,3,1,64
1,3,3,2,-1
1,3,3,3,-1
1,3,3,4,-1
1,3,3,5,-1
1,3,3,6,65
1,3,3,7,-1
1,3,3,8,-1
1,3,3,9,-1
1,3,4,0,-1
1,3,4,1,-1
1,3,4,2,-1
1,3,4,3,52
1,3,4,4,-1
1,3,4,5,-1
1,3,4,6,57
1,3,4,7,-1
1,3,4,8,49
1,3,4,9,-1
1,4,0,0,-1
1,4,0,1,-1
1,4,0,2,-1
1,4,0,3,-1
1,4,0,4,-1
1,4,0,5,63
1,4,0,6,56
1,4,0,7,-1
1,4,0,8,-1
1,4,0,9,-1
1,4,1,0,-1
1,4,1,1,-1
1,4,1,2,-1
1,4,1,3,-1
1,4,1,4,61
1,4,1,5,64
1,4,1,6,62
1,4,1,7,59
1,4,1,8,48
1,4,1,9,-1
1,4,2,0,-1
1,4,2,1,-1
1,4,2,2,61
1,4,2,3,-1
1,4,2,4,-1
1,4,2,5,-1
1,4,2,6,65
1,4,2,7,-1
1,4,2,8,-1
1,4,2,9,-1
1,4,3,0,-1
1,4,3,1,-1
1,4,3,2,-1
1,4,3,3,-1
1,4,3,4,59
1,4,3,5,-1
1,4,3,6,57
1,4,3,7,-1
1,4,3,8,65
1,4,3,9,-1
1,4,4,0,-1
1,4,4,1,57
1,4,4,2,-1
1,4,4,3,-1
1,4,4,4,-1
1,4,4,5,-1
1,4,4,6,62
1,4,4,7,-1
1,4,4,8,-1
1,4,4,9,-1
2,0,0,0,50
2,0,0,1,50
2,0,0,2,51
2,0,0,3,41
2,0,0,4,59
2,0,0,5,49
2,0,0,6,42
2,0,0,7,36
2,0,0,8,35
2,0,0,9,49
2,0,1,0,55
2,0,1,1,39
2,0,1,2,55
2,0,1,3,41
2,0,1,4,-1
2,0,1,5,40
2,0,1,6,52
2,0,1,7,46
2,0,1,8,57
2,0,1,9,44
2,0,2,0,52
2,0,2,1,31
2,0,2,2,52
