restrictions,directeds,rejects,iter,changes
0,0,0,0,30
0,0,0,1,30
0,0,0,2,30
0,0,0,3,30
0,0,0,4,30
0,0,0,5,30
0,0,0,6,30
0,0,0,7,30
0,0,0,8,30
0,0,0,9,30
0,0,1,0,41
0,0,1,1,39
0,0,1,2,38
0,0,1,3,35
0,0,1,4,50
0,0,1,5,52
0,0,1,6,33
0,0,1,7,43
0,0,1,8,34
0,0,1,9,48
0,0,2,0,34
0,0,2,1,42
0,0,2,2,44
0,0,2,3,50
0,0,2,4,48
0,0,2,5,49
0,0,2,6,40
0,0,2,7,51
0,0,2,8,36
0,0,2,9,40
0,0,3,0,56
0,0,3,1,59
0,0,3,2,55
0,0,3,3,45
0,0,3,4,37
0,0,3,5,59
0,0,3,6,47
0,0,3,7,50
0,0,3,8,46
0,0,3,9,38
0,0,4,0,60
0,0,4,1,56
0,0,4,2,48
0,0,4,3,46
0,0,4,4,59
0,0,4,5,57
0,0,4,6,49
0,0,4,7,35
0,0,4,8,55
0,0,4,9,56
0,1,0,0,42
0,1,0,1,44
0,1,0,2,52
0,1,0,3,60
0,1,0,4,48
0,1,0,5,46
0,1,0,6,41
0,1,0,7,35
0,1,0,8,46
0,1,0,9,50
0,1,1,0,36
0,1,1,1,40
0,1,1,2,42
0,1,1,3,53
0,1,1,4,54
0,1,1,5,49
0,1,1,6,47
0,1,1,7,40
0,1,1,8,36
0,1,1,9,54
0,1,2,0,43
0,1,2,1,56
0,1,2,2,50
0,1,2,3,58
0,1,2,4,64
0,1,2,5,49
0,1,2,6,57
0,1,2,7,54
0,1,2,8,56
0,1,2,9,50
0,1,3,0,60
0,1,3,1,58
0,1,3,2,55
0,1,3,3,65
0,1,3,4,54
0,1,3,5,45
0,1,3,6,51
0,1,3,7,55
0,1,3,8,55
0,1,3,9,54
0,1,4,0,57
0,1,4,1,51
0,1,4,2,58
0,1,4,3,54
0,1,4,4,58
0,1,4,5,70
0,1,4,6,50
0,1,4,7,56
0,1,4,8,65
0,1,4,9,47
0,2,0,0,55
0,2,0,1,37
0,2,0,2,52
0,2,0,3,44
0,2,0,4,53
0,2,0,5,56
0,2,0,6,44
0,2,0,7,37
0,2,0,8,48
0,2,0,9,46
0,2,1,0,65
0,2,1,1,54
0,2,1,2,69
0,2,1,3,49
0,2,1,4,42
0,2,1,5,54
0,2,1,6,57
0,2,1,7,50
0,2,1,8,52
0,2,1,9,41
0,2,2,0,62
0,2,2,1,56
0,2,2,2,60
0,2,2,3,45
0,2,2,4,53
0,2,2,5,53
0,2,2,6,58
0,2,2,7,54
0,2,2,8,54
0,2,2,9,57
0,2,3,0,57
0,2,3,1,59
0,2,3,2,62
0,2,3,3,56
0,2,3,4,47
0,2,3,5,53
0,2,3,6,52
0,2,3,7,55
0,2,3,8,69
0,2,3,9,51
0,2,4,0,64
0,2,4,1,57
0,2,4,2,56
0,2,4,3,61
0,2,4,4,55
0,2,4,5,61
0,2,4,6,66
0,2,4,7,52
0,2,4,8,58
0,2,4,9,52
0,3,0,0,55
0,3,0,1,53
0,3,0,2,49
0,3,0,3,50
0,3,0,4,53
0,3,0,5,56
0,3,0,6,52
0,3,0,7,49
0,3,0,8,51
0,3,0,9,56
0,3,1,0,64
0,3,1,1,60
0,3,1,2,60
0,3,1,3,59
0,3,1,4,57
0,3,1,5,52
0,3,1,6,37
0,3,1,7,50
0,3,1,8,67
0,3,1,9,59
0,3,2,0,73
0,3,2,1,51
0,3,2,2,67
0,3,2,3,52
0,3,2,4,64
0,3,2,5,53
0,3,2,6,58
0,3,2,7,65
0,3,2,8,52
0,3,2,9,61
0,3,3,0,67
0,3,3,1,58
0,3,3,2,63
0,3,3,3,62
0,3,3,4,64
0,3,3,5,61
0,3,3,6,56
0,3,3,7,65
0,3,3,8,47
0,3,3,9,60
0,3,4,0,61
0,3,4,1,75
0,3,4,2,56
0,3,4,3,60
0,3,4,4,61
0,3,4,5,60
0,3,4,6,62
0,3,4,7,72
0,3,4,8,51
0,3,4,9,63
0,4,0,0,42
0,4,0,1,57
0,4,0,2,50
0,4,0,3,61
0,4,0,4,46
0,4,0,5,63
0,4,0,6,59
0,4,0,7,51
0,4,0,8,56
0,4,0,9,52
0,4,1,0,66
0,4,1,1,67
0,4,1,2,56
0,4,1,3,68
0,4,1,4,52
0,4,1,5,52
0,4,1,6,65
0,4,1,7,51
0,4,1,8,68
0,4,1,9,61
0,4,2,0,60
0,4,2,1,52
0,4,2,2,65
0,4,2,3,61
0,4,2,4,62
0,4,2,5,60
0,4,2,6,53
0,4,2,7,62
0,4,2,8,55
0,4,2,9,66
0,4,3,0,62
0,4,3,1,49
0,4,3,2,61
0,4,3,3,66
0,4,3,4,66
0,4,3,5,54
0,4,3,6,61
0,4,3,7,65
0,4,3,8,67
0,4,3,9,58
0,4,4,0,55
0,4,4,1,66
0,4,4,2,63
0,4,4,3,64
0,4,4,4,74
0,4,4,5,59
0,4,4,6,64
0,4,4,7,57
0,4,4,8,68
0,4,4,9,71
1,0,0,0,39
1,0,0,1,55
1,0,0,2,36
1,0,0,3,39
1,0,0,4,45
1,0,0,5,34
1,0,0,6,40
1,0,0,7,41
1,0,0,8,43
1,0,0,9,50
1,0,1,0,54
1,0,1,1,42
1,0,1,2,53
1,0,1,3,42
1,0,1,4,37
1,0,1,5,46
1,0,1,6,42
1,0,1,7,56
1,0,1,8,61
1,0,1,9,50
1,0,2,0,56
1,0,2,1,55
1,0,2,2,59
1,0,2,3,54
1,0,2,4,46
1,0,2,5,67
1,0,2,6,50
1,0,2,7,59
1,0,2,8,46
1,0,2,9,56
1,0,3,0,57
1,0,3,1,56
1,0,3,2,52
1,0,3,3,48
1,0,3,4,63
1,0,3,5,54
1,0,3,6,58
1,0,3,7,46
1,0,3,8,57
1,0,3,9,52
1,0,4,0,46
1,0,4,1,59
1,0,4,2,63
1,0,4,3,63
1,0,4,4,52
1,0,4,5,58
1,0,4,6,50
1,0,4,7,47
1,0,4,8,64
1,0,4,9,60
1,1,0,0,47
1,1,0,1,53
1,1,0,2,43
1,1,0,3,47
1,1,0,4,48
1,1,0,5,44
1,1,0,6,42
1,1,0,7,60
1,1,0,8,42
1,1,0,9,46
1,1,1,0,51
1,1,1,1,61
1,1,1,2,60
1,1,1,3,53
1,1,1,4,63
1,1,1,5,44
1,1,1,6,55
1,1,1,7,47
1,1,1,8,59
1,1,1,9,59
1,1,2,0,55
1,1,2,1,52
1,1,2,2,49
1,1,2,3,56
1,1,2,4,53
1,1,2,5,52
1,1,2,6,63
1,1,2,7,48
1,1,2,8,48
1,1,2,9,61
1,1,3,0,57
1,1,3,1,60
1,1,3,2,48
1,1,3,3,60
1,1,3,4,64
1,1,3,5,62
1,1,3,6,54
1,1,3,7,50
1,1,3,8,65
1,1,3,9,58
1,1,4,0,53
1,1,4,1,63
1,1,4,2,58
1,1,4,3,59
1,1,4,4,49
1,1,4,5,51
1,1,4,6,67
1,1,4,7,60
1,1,4,8,59
1,1,4,9,55
1,2,0,0,50
1,2,0,1,47
1,2,0,2,50
1,2,0,3,44
1,2,0,4,61
1,2,0,5,38
1,2,0,6,66
1,2,0,7,53
1,2,0,8,52
1,2,0,9,47
1,2,1,0,57
1,2,1,1,52
1,2,1,2,58
1,2,1,3,57
1,2,1,4,52
1,2,1,5,49
1,2,1,6,61
1,2,1,7,57
1,2,1,8,61
1,2,1,9,54
1,2,2,0,57
1,2,2,1,65
1,2,2,2,49
1,2,2,3,62
1,2,2,4,60
1,2,2,5,61
1,2,2,6,61
1,2,2,7,54
1,2,2,8,42
1,2,2,9,64
1,2,3,0,68
1,2,3,1,54
1,2,3,2,53
1,2,3,3,53
1,2,3,4,63
1,2,3,5,62
1,2,3,6,60
1,2,3,7,62
1,2,3,8,46
1,2,3,9,65
1,2,4,0,47
1,2,4,1,75
1,2,4,2,58
1,2,4,3,62
1,2,4,4,62
1,2,4,5,57
1,2,4,6,62
1,2,4,7,48
1,2,4,8,60
1,2,4,9,65
1,3,0,0,51
1,3,0,1,63
1,3,0,2,45
1,3,0,3,62
1,3,0,4,48
1,3,0,5,54
1,3,0,6,63
1,3,0,7,65
1,3,0,8,50
1,3,0,9,62
1,3,1,0,51
1,3,1,1,66
1,3,1,2,53
1,3,1,3,52
1,3,1,4,42
1,3,1,5,63
1,3,1,6,55
1,3,1,7,44
1,3,1,8,52
1,3,1,9,63
1,3,2,0,52
1,3,2,1,53
1,3,2,2,62
1,3,2,3,49
1,3,2,4,62
1,3,2,5,64
1,3,2,6,55
1,3,2,7,61
1,3,2,8,65
1,3,2,9,52
1,3,3,0,59
1,3,3,1,66
1,3,3,2,69
1,3,3,3,56
1,3,3,4,72
1,3,3,5,59
1,3,3,6,65
1,3,3,7,64
1,3,3,8,65
1,3,3,9,55
1,3,4,0,64
1,3,4,1,69
1,3,4,2,51
1,3,4,3,62
1,3,4,4,61
1,3,4,5,61
1,3,4,6,67
1,3,4,7,60
1,3,4,8,63
1,3,4,9,65
1,4,0,0,61
1,4,0,1,57
1,4,0,2,62
1,4,0,3,54
1,4,0,4,56
1,4,0,5,51
1,4,0,6,59
1,4,0,7,58
1,4,0,8,72
1,4,0,9,62
1,4,1,0,44
1,4,1,1,63
1,4,1,2,67
1,4,1,3,54
1,4,1,4,55
1,4,1,5,68
1,4,1,6,52
1,4,1,7,54
1,4,1,8,53
1,4,1,9,63
1,4,2,0,63
1,4,2,1,63
1,4,2,2,64
1,4,2,3,70
1,4,2,4,62
1,4,2,5,69
1,4,2,6,56
1,4,2,7,71
1,4,2,8,53
1,4,2,9,54
1,4,3,0,74
1,4,3,1,54
1,4,3,2,66
1,4,3,3,62
1,4,3,4,63
1,4,3,5,60
1,4,3,6,55
1,4,3,7,54
1,4,3,8,57
1,4,3,9,81
1,4,4,0,59
1,4,4,1,66
1,4,4,2,64
1,4,4,3,70
1,4,4,4,73
1,4,4,5,68
1,4,4,6,60
1,4,4,7,57
1,4,4,8,69
1,4,4,9,71
2,0,0,0,48
2,0,0,1,44
2,0,0,2,61
2,0,0,3,67
2,0,0,4,61
2,0,0,5,38
2,0,0,6,50
2,0,0,7,46
2,0,0,8,57
2,0,0,9,37
2,0,1,0,39
2,0,1,1,60
2,0,1,2,58
2,0,1,3,48
2,0,1,4,44
2,0,1,5,50
2,0,1,6,63
2,0,1,7,55
2,0,1,8,48
2,0,1,9,48
2,0,2,0,51
2,0,2,1,57
2,0,2,2,56
2,0,2,3,38
2,0,2,4,57
2,0,2,5,57
2,0,2,6,61
2,0,2,7,56
2,0,2,8,51
2,0,2,9,48
2,0,3,0,66
2,0,3,1,53
2,0,3,2,54
2,0,3,3,46
2,0,3,4,45
2,0,3,5,61
2,0,3,6,58
2,0,3,7,65
2,0,3,8,54
2,0,3,9,59
2,0,4,0,56
2,0,4,1,59
2,0,4,2,58
2,0,4,3,49
2,0,4,4,63
2,0,4,5,63
2,0,4,6,49
2,0,4,7,64
2,0,4,8,56
2,0,4,9,63
2,1,0,0,58
2,1,0,1,61
2,1,0,2,51
2,1,0,3,49
2,1,0,4,56
2,1,0,5,45
2,1,0,6,51
2,1,0,7,63
2,1,0,8,55
2,1,0,9,50
2,1,1,0,51
2,1,1,1,55
2,1,1,2,41
2,1,1,3,69
2,1,1,4,56
2,1,1,5,50
2,1,1,6,53
2,1,1,7,45
2,1,1,8,60
2,1,1,9,55
2,1,2,0,57
2,1,2,1,48
2,1,2,2,62
2,1,2,3,63
2,1,2,4,53
2,1,2,5,59
2,1,2,6,62
2,1,2,7,61
2,1,2,8,48
2,1,2,9,51
2,1,3,0,63
2,1,3,1,46
2,1,3,2,45
2,1,3,3,56
2,1,3,4,60
2,1,3,5,60
2,1,3,6,57
2,1,3,7,57
2,1,3,8,60
2,1,3,9,59
2,1,4,0,66
2,1,4,1,46
2,1,4,2,55
2,1,4,3,50
2,1,4,4,46
2,1,4,5,50
2,1,4,6,68
2,1,4,7,57
2,1,4,8,58
2,1,4,9,66
2,2,0,0,51
2,2,0,1,52
2,2,0,2,57
2,2,0,3,45
2,2,0,4,48
2,2,0,5,62
2,2,0,6,44
2,2,0,7,43
2,2,0,8,44
2,2,0,9,42
2,2,1,0,68
2,2,1,1,58
2,2,1,2,56
2,2,1,3,52
2,2,1,4,63
2,2,1,5,50
2,2,1,6,52
2,2,1,7,57
2,2,1,8,65
2,2,1,9,50
2,2,2,0,68
2,2,2,1,58
2,2,2,2,53
2,2,2,3,53
2,2,2,4,52
2,2,2,5,62
2,2,2,6,63
2,2,2,7,48
2,2,2,8,67
2,2,2,9,55
2,2,3,0,54
2,2,3,1,73
2,2,3,2,51
2,2,3,3,63
2,2,3,4,62
2,2,3,5,63
2,2,3,6,60
2,2,3,7,74
2,2,3,8,49
2,2,3,9,66
2,2,4,0,69
2,2,4,1,53
2,2,4,2,54
2,2,4,3,55
2,2,4,4,58
2,2,4,5,49
2,2,4,6,59
2,2,4,7,66
2,2,4,8,58
2,2,4,9,78
2,3,0,0,61
2,3,0,1,54
2,3,0,2,56
2,3,0,3,66
2,3,0,4,56
2,3,0,5,61
2,3,0,6,60
2,3,0,7,62
2,3,0,8,60
2,3,0,9,55
2,3,1,0,56
2,3,1,1,65
2,3,1,2,53
2,3,1,3,61
2,3,1,4,60
2,3,1,5,63
2,3,1,6,48
2,3,1,7,65
2,3,1,8,62
2,3,1,9,42
2,3,2,0,51
2,3,2,1,55
2,3,2,2,57
2,3,2,3,68
