method, obj, restrictions,directeds,rejects,iter,changes, time
1,2137.5,0,0,0,0,145,0.23938202858
2,706.0,0,0,0,0,76,0.635553121567
3,706.0,0,0,0,0,76,0.649565935135
1,2137.5,0,0,0,1,145,0.22706580162
2,706.0,0,0,0,1,76,0.636682987213
3,706.0,0,0,0,1,76,0.616544961929
1,2137.5,0,0,0,2,145,0.240226984024
2,706.0,0,0,0,2,76,0.616082191467
3,706.0,0,0,0,2,76,0.633718967438
1,2137.5,0,0,0,3,145,0.226511001587
2,706.0,0,0,0,3,76,0.618396997452
3,706.0,0,0,0,3,76,0.635051012039
1,2137.5,0,0,0,4,145,0.22650384903
2,706.0,0,0,0,4,76,0.616079092026
3,706.0,0,0,0,4,76,0.634254932404
1,2137.5,0,0,0,5,145,0.22750711441
2,706.0,0,0,0,5,76,0.619779825211
3,706.0,0,0,0,5,76,0.624042987823
1,2137.5,0,0,0,6,145,0.241937875748
2,706.0,0,0,0,6,76,0.61786198616
3,706.0,0,0,0,6,76,0.632719993591
1,2137.5,0,0,0,7,145,0.225867986679
2,706.0,0,0,0,7,76,0.613607883453
3,706.0,0,0,0,7,76,0.636975049973
1,2137.5,0,0,0,8,145,0.225065946579
2,706.0,0,0,0,8,76,0.615393161774
3,706.0,0,0,0,8,76,0.619212865829
1,2137.5,0,0,0,9,145,0.240175962448
2,706.0,0,0,0,9,76,0.613204956055
3,706.0,0,0,0,9,76,0.631217956543
1,2137.5,0,0,1,0,145,0.224882125854
2,706.0,0,0,1,0,72,0.612989902496
3,706.0,0,0,1,0,73,0.628569126129
1,2137.5,0,0,1,1,145,0.225652933121
2,706.0,0,0,1,1,72,0.608903169632
3,708.0,0,0,1,1,75,0.604016065598
1,2137.5,0,0,1,2,145,0.236446857452
2,706.0,0,0,1,2,74,0.607698917389
3,710.0,0,0,1,2,88,0.625387907028
1,2137.5,0,0,1,3,145,0.223775148392
2,710.0,0,0,1,3,88,0.606705188751
3,706.0,0,0,1,3,83,0.610612869263
1,2150.5,0,0,1,4,146,0.239075899124
2,706.0,0,0,1,4,73,0.61593413353
3,707.0,0,0,1,4,80,0.625605106354
1,2137.5,0,0,1,5,145,0.225316047668
2,706.0,0,0,1,5,82,0.600097894669
3,706.0,0,0,1,5,73,0.630306959152
1,2137.5,0,0,1,6,145,0.22530913353
2,706.0,0,0,1,6,83,0.610758066177
3,706.0,0,0,1,6,71,0.634760141373
1,2137.5,0,0,1,7,145,0.22726893425
2,706.0,0,0,1,7,82,0.605380058289
3,711.5,0,0,1,7,76,0.621515035629
1,2137.5,0,0,1,8,145,0.241370916367
2,709.0,0,0,1,8,78,0.604434967041
3,708.0,0,0,1,8,75,0.627470016479
1,2137.5,0,0,1,9,145,0.224318981171
2,708.0,0,0,1,9,76,0.612786054611
3,706.0,0,0,1,9,81,0.641316890717
1,2137.5,0,0,2,0,145,0.225682973862
2,706.0,0,0,2,0,80,0.61660194397
3,707.0,0,0,2,0,81,0.620406866074
1,2137.5,0,0,2,1,145,0.240926980972
2,711.5,0,0,2,1,86,0.602417945862
3,706.0,0,0,2,1,78,0.621834039688
1,2137.5,0,0,2,2,145,0.227199077606
2,709.5,0,0,2,2,73,0.607758045197
3,706.0,0,0,2,2,79,0.620697975159
1,2137.5,0,0,2,3,145,0.225448846817
2,728.0,0,0,2,3,83,0.610064029694
3,706.0,0,0,2,3,76,0.607435941696
1,2137.5,0,0,2,4,145,0.237317085266
2,708.0,0,0,2,4,81,0.604726076126
3,711.0,0,0,2,4,83,0.624135017395
1,2137.5,0,0,2,5,145,0.225270032883
2,708.0,0,0,2,5,71,0.604243993759
3,706.0,0,0,2,5,76,0.612892150879
1,2137.5,0,0,2,6,145,0.239378213882
2,707.0,0,0,2,6,76,0.60258603096
3,708.5,0,0,2,6,79,0.630213975906
1,2137.5,0,0,2,7,145,0.226248979568
2,707.0,0,0,2,7,72,0.603446960449
3,712.0,0,0,2,7,80,0.638675928116
1,2137.5,0,0,2,8,145,0.226179838181
2,706.0,0,0,2,8,75,0.610883951187
3,708.5,0,0,2,8,73,0.640437841415
1,2137.5,0,0,2,9,145,0.227364063263
2,707.0,0,0,2,9,84,0.609368085861
3,709.0,0,0,2,9,79,0.617711782455
1,2137.5,0,0,3,0,145,0.241394042969
2,706.0,0,0,3,0,88,0.603245019913
3,712.0,0,0,3,0,78,0.623956918716
1,2137.5,0,0,3,1,145,0.225397109985
2,708.0,0,0,3,1,81,0.611800909042
3,712.0,0,0,3,1,82,0.636445999146
1,2137.5,0,0,3,2,145,0.224248886108
2,706.0,0,0,3,2,80,0.607897996902
3,706.0,0,0,3,2,81,0.615998983383
1,2137.5,0,0,3,3,145,0.240616083145
2,720.0,0,0,3,3,87,0.599666833878
3,723.5,0,0,3,3,74,0.619033098221
1,2137.5,0,0,3,4,145,0.226069927216
2,726.5,0,0,3,4,83,0.599032878876
3,723.0,0,0,3,4,80,0.621809959412
1,2137.5,0,0,3,5,145,0.224378108978
2,709.0,0,0,3,5,82,0.612384080887
3,710.0,0,0,3,5,84,0.611443996429
1,2137.5,0,0,3,6,145,0.237215042114
2,708.0,0,0,3,6,87,0.604995012283
3,710.0,0,0,3,6,86,0.621228933334
1,2137.5,0,0,3,7,145,0.226480007172
2,706.0,0,0,3,7,75,0.618964910507
3,710.0,0,0,3,7,85,0.608753919601
1,2137.5,0,0,3,8,145,0.237826824188
2,711.0,0,0,3,8,79,0.610845088959
3,711.0,0,0,3,8,77,0.617789983749
1,2137.5,0,0,3,9,145,0.224494934082
2,706.0,0,0,3,9,79,0.597411155701
3,707.0,0,0,3,9,79,0.623635053635
1,2137.5,0,0,4,0,145,0.226497888565
2,706.0,0,0,4,0,79,0.610285043716
3,718.5,0,0,4,0,78,0.628807067871
1,2137.5,0,0,4,1,145,0.22620010376
2,716.0,0,0,4,1,83,0.614401102066
3,732.5,0,0,4,1,85,0.614202976227
1,2137.5,0,0,4,2,145,0.241579055786
2,711.0,0,0,4,2,83,0.609264135361
3,706.0,0,0,4,2,78,0.626662015915
1,2137.5,0,0,4,3,145,0.223951101303
2,709.0,0,0,4,3,73,0.61118888855
3,728.5,0,0,4,3,83,0.626999855042
1,2137.5,0,0,4,4,145,0.225326061249
2,708.5,0,0,4,4,86,0.611993074417
3,726.0,0,0,4,4,80,0.608596086502
1,2137.5,0,0,4,5,145,0.240744113922
2,708.0,0,0,4,5,72,0.600790977478
3,715.0,0,0,4,5,84,0.621948957443
1,2150.5,0,0,4,6,146,0.224590778351
2,706.0,0,0,4,6,79,0.599550962448
3,712.0,0,0,4,6,76,0.621896028519
1,2137.5,0,0,4,7,145,0.227256059647
2,707.0,0,0,4,7,83,0.611768007278
3,708.0,0,0,4,7,84,0.605895042419
1,2137.5,0,0,4,8,145,0.236779928207
2,707.0,0,0,4,8,79,0.610720872879
3,706.0,0,0,4,8,77,0.62698507309
